# Measured scattering data of gold cubes
# q I err
3.022020799999999285e-01 1.919644974980842633e+01 3.012945298499536961e-01
3.037361000000000089e-01 1.840330383371647471e+01 2.977809379769610909e-01
3.052701400000000787e-01 1.805936114750957344e+01 2.930983681813373876e-01
3.068041600000000479e-01 1.744030445785440975e+01 2.885643862846656860e-01
3.083381799999999062e-01 1.667344952490421406e+01 2.831995520691598101e-01
3.098721900000000473e-01 1.566648537088122417e+01 2.771015518294265845e-01
3.114062100000001276e-01 1.516972531609195407e+01 2.761045558553267276e-01
3.129402199999998802e-01 1.459859252681992814e+01 2.713343807832840349e-01
3.144742400000000160e-01 1.432769287356322074e+01 2.675063663848731843e-01
3.160082900000000250e-01 1.357279365478927602e+01 2.617395714536187024e-01
3.175423000000001106e-01 1.269997678582375755e+01 2.566996977748481901e-01
3.190763200000000244e-01 1.245768174865900590e+01 2.537517681892510479e-01
3.206103399999999937e-01 1.189603483678160423e+01 2.507666563878195864e-01
3.221443500000000792e-01 1.140819950881225076e+01 2.483531394667073122e-01
3.236783699999999375e-01 1.065280902643677763e+01 2.429159021175607003e-01
3.252123800000000231e-01 1.015180354789272243e+01 2.387220688510031941e-01
3.267464299999999766e-01 9.604477329118774165e+00 2.340309066540288974e-01
3.282804500000001124e-01 8.740774891187740536e+00 2.274529190624690889e-01
3.298144599999999205e-01 8.221035398850576215e+00 2.237526628468483880e-01
3.313484800000000008e-01 8.033849703448272095e+00 2.206415216866018381e-01
3.328825000000000811e-01 7.763730571264370717e+00 2.181055229079119917e-01
3.344165099999998336e-01 7.373868187739457625e+00 2.155359975591996102e-01
3.359505599999998982e-01 6.727353184291186672e+00 2.112877668181110946e-01
3.374845799999999785e-01 6.472781807471262638e+00 2.082734634917520478e-01
3.390185900000001196e-01 6.081194995977012852e+00 2.042897061296667094e-01
3.405526099999998113e-01 6.064010749616859819e+00 2.028119891533361197e-01
3.420866199999999524e-01 5.645982125095784454e+00 2.002659547860856093e-01
3.436206400000000882e-01 5.626581267816094467e+00 1.988533398418348974e-01
3.451546600000001686e-01 5.308345716475095344e+00 1.949614674672833226e-01
3.466886999999998498e-01 4.827745741954022840e+00 1.919058052788998880e-01
3.482227199999999301e-01 4.771837835632186220e+00 1.929733859594599532e-01
3.497567400000001214e-01 4.832269101532567390e+00 1.931148347682423994e-01
3.512907500000000960e-01 4.926290352107276505e+00 1.910323904898376668e-01
3.528247699999998988e-01 4.582346714942528543e+00 1.877114548334480881e-01
3.543587800000000398e-01 4.322523796168583843e+00 1.863566700279662702e-01
3.558928000000001202e-01 4.429969663984673289e+00 1.857528674221047005e-01
3.574268500000001847e-01 4.294724202490421305e+00 1.832943466855734560e-01
3.589608599999998817e-01 4.082350634674330792e+00 1.845630026342025554e-01
3.604948800000000175e-01 3.713021049233713455e+00 1.812750610515292127e-01
3.620289000000000978e-01 3.755060403831416593e+00 1.797334122434675607e-01
3.635629100000000169e-01 3.743933570881227357e+00 1.817301174659678442e-01
3.650969299999999862e-01 3.863778914367818285e+00 1.810998778952495891e-01
3.666309400000001273e-01 4.258162443295021582e+00 1.831473598805300751e-01
3.681649900000001363e-01 4.246690526053639836e+00 1.836559028206060096e-01
3.696990099999999946e-01 4.268460456130267922e+00 1.822771884482394522e-01
3.712330200000000247e-01 4.435281636590037380e+00 1.825637476738922460e-01
3.727670400000001050e-01 4.431358245977011556e+00 1.817716160954948590e-01
3.743010599999999077e-01 4.547367955172409992e+00 1.821844827106462728e-01
3.758350699999999933e-01 4.686566460153256841e+00 1.830405895990986909e-01
3.773691200000000023e-01 4.629551995210728244e+00 1.831561274452243870e-01
3.789031400000001382e-01 4.713180578160916845e+00 1.823899876680476484e-01
3.804371499999998907e-01 4.486902653448276546e+00 1.800815024618646065e-01
3.819711700000000265e-01 4.732569283333333487e+00 1.821734690733287920e-01
3.835051800000001121e-01 4.805976626436780030e+00 1.817304612411375919e-01
3.850391999999999149e-01 5.015962333908047022e+00 1.829162967344981905e-01
3.865732199999998842e-01 5.102824168965516272e+00 1.837001290355884664e-01
3.881072600000000095e-01 5.074305699425288196e+00 1.824723875280923890e-01
3.896412800000000898e-01 4.832991455555553095e+00 1.823558802499156972e-01
3.911752999999997815e-01 4.774817364367815564e+00 1.800629291534858178e-01
3.927093099999999226e-01 5.112459449042148663e+00 1.812555887828036505e-01
